Name,Degree Type,Years of Experience,Speciality,Location,City,DP Score,NPV,Consult Fee
Dr. Bharti Patel,MBBS,19,Dermatologist,Bandra West,Mumbai,94,1546,1000
Dr. Pooja Chopra,MBBS,17,Dermatologist,Andheri West,Mumbai,96,94,1500
Dr. Maxim Dmello,MBBS,37,Dermatologist,Borivali West,Mumbai,97,94,850
Dr. Shaurya Rohatgi,MD,15,Dermatologist,Andheri West,Mumbai,96,252,1000
Dr. Mithali Jage,MD,10,Dermatologist,Sion,Mumbai,99,137,1000
Dr. Vaishali Kanthi,MBBS,26,Dermatologist,Bhandup West,Mumbai,88,205,800
Dr. Ajay Nimbalkar,MD,13,Dermatologist,Khar West,Mumbai,95,100,1500
Dr. Priyanka Ghuge Avhad,MBBS,14,Dermatologist,Sion,Mumbai,96,53,800
Dr. Nidhi Shah,MBBS,8,Dermatologist,Marine Lines,Mumbai,100,66,1750
Dr. Siddhi Chavan,DDVL,15,Dermatologist,Bandra West,Mumbai,97,174,1500
Dr. Bhushan S Bawankar,MBBS,14,Dermatologist,Matunga West,Mumbai,96,165,1200
Dr. Apeksha Chaudhari,MBBS,10,Dermatologist,Marol,Mumbai,98,109,800
Dr. Rahul Siraskar,MBBS,15,Dermatologist,Sion,Mumbai,97,63,1000
Dr. Malay Mehta,MD,13,Dermatologist,Vileparle West,Mumbai,96,118,1000
Dr. Zeenat Bhalwani,MBBS,23,Dermatologist,Andheri West,Mumbai,99,501,1500
Dr. Deepam J. Shah,MBBS,14,Dermatologist,Opera House,Mumbai,96,515,1500
Dr. Aakanksha Gupta,MBBS,5,Dermatologist,Dadar West,Mumbai,100,26,1000
Dr. Rameshwar Gutte,MBBS,20,Dermatologist,Powai,Mumbai,95,210,1200
Dr. Raashi Mehta,MBBS,14,Dermatologist,Peddar Road,Mumbai,95,79,1500
Dr. Anuja Jadhav,MBBS,7,Dermatologist,Dadar,Mumbai,98,52,900
Dr. Shikha Shah,MBBS,10,Dermatologist,Andheri West,Mumbai,98,43,1000
Dr. Vibha Murarka,MBBS,21,Dermatologist,Girgaon,Mumbai,99,421,1700
Dr. Vikas Halwai,MBBS,15,Dermatologist,Chinchpokli,Mumbai,91,120,800
Dr. Manisha Kshirsagar,MBBS,20,Dermatologist,Vikhroli East,Mumbai,89,57,1000
Dr. Kaleem Khan,MBBS,15,Dermatologist,Santacruz West,Mumbai,97,70,1500
Dr. Haresh Timbadia,MD,43,Dermatologist,Borivali West,Mumbai,95,217,1400
Dr. Ashvith Shetty,MBBS,16,Dermatologist,Powai,Mumbai,98,249,1500
Dr. Ismail Shaikh,MD,26,Dermatologist,Colaba,Mumbai,93,14,1000
Dr. Gitika Sanodia,MBBS,11,Dermatologist,Powai,Mumbai,94,17,1200
Dr. Rucha Kagne,MBBS,23,Dermatologist,Mahim,Mumbai,99,209,1500
Dr. Sushrut Save,MBBS,16,Dermatologist,Dadar,Mumbai,97,129,1500
Dr. Pratik Thacker,MD,14,Dermatologist,Kandivali West,Mumbai,94,36,1000
Dr. Kinjal Rambhia Gulati,MBBS,13,Dermatologist,Malad West,Mumbai,96,28,750
Dr. Sanjay S Chopra,MBBS,13,Dermatologist,Parel,Mumbai,96,185,1100
Dr. Gayatri Bharadwaj,MBBS,34,Dermatologist,Mulund West,Mumbai,84,297,1500
Dr. Geoffrey Vaz,MD,12,Dermatologist,Versova,Mumbai,95,20,1000
Dr. Meryl Rebello,MBBS,12,Dermatologist,Malad West,Mumbai,100,15,900
Dr. Neha Dalal,MBBS,24,Dermatologist,Andheri West,Mumbai,95,19,1500
Dr. Manisha Jethava,MBBS,10,Dermatologist,Mulund West,Mumbai,91,11,1000
Dr. Rajeev Dhir,MBBS,36,Dermatologist,Powai,Mumbai,84,25,1500
Dr. Resham Vasani Bhojani,MBBS,25,Dermatologist,Matunga,Mumbai,99,565,1900
Dr. Saloni Vora,MBBS,10,Dermatologist,Juhu,Mumbai,93,104,1750
Dr. D.G. Saple,MBBS,50,Dermatologist,Dadar,Mumbai,90,229,2500
Dr. Pradnya Manwatkar,MBBS,19,Dermatologist,Mahim,Mumbai,98,589,2000
Dr. Sunil Ghate,MD,24,Dermatologist,Chembur East,Mumbai,77,31,1200
Dr. Diksha Mali,MBBS,5,Dermatologist,Chira Bazaar,Mumbai,,,1000
Dr. Aarti Jagiasi,MBBS,16,Dermatologist,Andheri West,Mumbai,,,700
Dr. Nimesh Mehta,MBBS,28,Dermatologist,Mahim,Mumbai,89,19,2000
Dr. Asmita Jha,MBBS,10,Dermatologist,Chembur,Mumbai,,,500
Dr. Sadhana Deshmukh,MBBS,21,Dermatologist,Bandra West,Mumbai,97,519,2000
Dr. Meghna Mour,MBBS,25,Dermatologist,Worli,Mumbai,94,536,2000
Dr. Sonia Tekchandani,DVD,38,Dermatologist,Andheri West,Mumbai,94,456,2000
Dr. Niketa Sonavane,DDVL,19,Dermatologist,Andheri West,Mumbai,93,599,3000
Dr. Sana Bhamla,MBBS,16,Dermatologist,Mumbai Central,Mumbai,95,299,2000
Dr. Kirti Jangid Patil,MBBS,13,Dermatologist,Powai,Mumbai,,,500
Dr. Shareefa Chause,MBBS,11,Dermatologist,Chembur,Mumbai,,,1200
Dr. Nikita Jadhav,MD,10,Dermatologist,Lal baug,Mumbai,86,29,1200
Dr. Shweta Bhanushali,MBBS,7,Dermatologist,Mulund West,Mumbai,,,500
Dr. Joshika Bhandary,MBBS,13,Dermatologist,Andheri West,Mumbai,,,1200
Dr. Maithili Kamat,MBBS,27,Dermatologist,Mahim,Mumbai,92,24,2000
Dr. Bindu Sthalekar,MD,36,Dermatologist,Khar West,Mumbai,96,251,3000
Dr. Harish Balaji,MBBS,11,Dermatologist,Worli,Mumbai,,,1500
Dr. Chirag Desai,DDVL,14,Dermatologist,Dadar East,Mumbai,,,1000
Dr. Sonali Kohli,MBBS,11,Dermatologist,Charni Road,Mumbai,,,1500
Dr. Avina Jain,MBBS,10,Dermatologist,Vileparle West,Mumbai,,,1000
Dr. Vinata Shetty,DNB,17,Dermatologist,Kandivali West,Mumbai,,,500
Dr. Shefali Saini,MBBS,4,Dermatologist,Chembur,Mumbai,,,1000
Dr. Usha Beloskar,MBBS,28,Dermatologist,Kala Ghoda,Mumbai,,,500
Dr. Pooja Shrivastava,MD,5,Dermatologist,Goregaon West,Mumbai,,,1000
Dr. Preeti Savarkedar,MBBS,27,Dermatologist,Peddar Road,Mumbai,,,500
Dr. Meghana Toraskar,MBBS,27,Dermatologist,Sion West,Mumbai,,,500
Dr. Preeti Kothari,MBBS,11,Dermatologist,Malabar Hill,Mumbai,,,500
Dr. Shankar Sawant,MBBS,22,Dermatologist,Mahim,Mumbai,,,1800
Dr. Agni Kumar Bose,MBBS,6,Dermatologist,Juhu,Mumbai,,,1750
Dr. Simple Aher,MBBS,15,Dermatologist,Andheri West,Mumbai,,,2000
Dr. Saloni Bhatia,MD,6,Dermatologist,Bandra West,Mumbai,,,1500
Dr. Akanksha Shrivastava,MBBS,10,Dermatologist,Cuffe Parade,Mumbai,,,2000
Dr. Shrea Kapoor,MBBS,8,Dermatologist,Peddar Road,Mumbai,,,2360
Ms. Kruti Harsh Mehta (Physiotherapist),BPTh/BPT,15,Physiotherapist,Vikhroli,Mumbai,99,181,500
Ms. Aditi Mehta (Physiotherapist),BPTh/BPT,16,Physiotherapist,Ghatkopar East,Mumbai,99,320,500
Ms. Shraddha Khot (Physiotherapist),BPTh/BPT,17,Physiotherapist,Borivali West,Mumbai,100,42,500
Mr. Vigil Kavanal (Physiotherapist),BPTh/BPT,14,Physiotherapist,Mira Road,Mumbai,100,21,300
Ms. Avani Khadepau (Physiotherapist),BPTh/BPT,22,Physiotherapist,Kandivali West,Mumbai,100,12,500
Ms. Minita Mehta Solanki (Physiotherapist),BPTh/BPT,13,Physiotherapist,Andheri West,Mumbai,97,34,500
Mr. Niraj Jha (Physiotherapist),BPTh/BPT,18,Physiotherapist,Chembur,Mumbai,97,1026,1000
Ms. Rachana Rai (Physiotherapist),BPTh/BPT,22,Physiotherapist,Jogeshwari East,Mumbai,98,55,800
Ms. Lajja Shah (Physiotherapist),BPTh/BPT,16,Physiotherapist,Ghatkopar East,Mumbai,96,56,1000
Mr. Monish Mehta (Physiotherapist),BPTh/BPT,10,Physiotherapist,Khar West,Mumbai,100,83,2000
Mr. Ankur Sharma (Physiotherapist),BPTh/BPT,18,Physiotherapist,Malad West,Mumbai,98,112,600
Ms. Binal Dave (Physiotherapist),BPTh/BPT,17,Physiotherapist,Prabhadevi,Mumbai,100,145,1500
Mr. Aditya Pardasany (Physiotherapist),BPTh/BPT,18,Physiotherapist,Bandra West,Mumbai,90,20,1300
Ms. Hemakshi Basu (Physiotherapist),BPTh/BPT,30,Physiotherapist,Worli,Mumbai,98,1284,4000
Ms. Pooja Vora Jhonsa (Physiotherapist),BSc,23,Physiotherapist,Powai,Mumbai,100,124,700
Mr. Rohan Sawant (Physiotherapist),BPTh/BPT,11,Physiotherapist,Kandivali West,Mumbai,100,64,400
Mr. Pravin A. Singh (Physiotherapist),BPTh/BPT,16,Physiotherapist,Vikhroli,Mumbai,,,500
Ms. Neha Varghese (Physiotherapist),BPTh/BPT,10,Physiotherapist,Andheri West,Mumbai,,,1200
Ms. Disha Bamboli (Physiotherapist),MPTh/MPT,11,Physiotherapist,Jogeshwari West,Mumbai,100,66,600
Mr. Kripal M Panchal (Physiotherapist),BPTh/BPT,8,Physiotherapist,Malad East,Mumbai,100,30,1000
Ms. Premlata Jaiswal (Physiotherapist),BPTh/BPT,12,Physiotherapist,Mira Road,Mumbai,96,69,500
Ms. Zahabia Basrai (Physiotherapist),BPTh/BPT,15,Physiotherapist,Worli,Mumbai,100,136,2000
Mr. Ravi Kumar (Physiotherapist),BPTh/BPT,16,Physiotherapist,Chembur East,Mumbai,,,600
Ms. Neelu Jain (Physiotherapist),BPTh/BPT,34,Physiotherapist,Kandivali West,Mumbai,99,340,600
Ms. Mira B Udeshi (Physiotherapist),BPTh/BPT,13,Physiotherapist,Borivali West,Mumbai,,,350
Ms. K Neethu John (Physiotherapist),BPTh/BPT,12,Physiotherapist,Prabhadevi,Mumbai,,,1000
Ms. Shaikh Firdos Mukhtar Ahmed (Physiotherapist),BPTh/BPT,14,Physiotherapist,Prabhadevi,Mumbai,100,13,1000
Ms. Harshida Pai (Physiotherapist),BPTh/BPT,14,Physiotherapist,Andheri East,Mumbai,99,201,800
Ms. Rupa Mehta (Physiotherapist),BSc,46,Physiotherapist,Opera House,Mumbai,,,1000
Ms. Ketaki Shingare (Physiotherapist),BPTh/BPT,14,Physiotherapist,Ghatkopar East,Mumbai,,,1000
Ms. Sarika Jambhulkar (Physiotherapist),MPTh/MPT,13,Physiotherapist,Andheri West,Mumbai,97,392,1500
Ms. Rajani Singh (Physiotherapist),BPTh/BPT,5,Physiotherapist,Andheri East,Mumbai,,,600
Ms. Garima Anandani (Physiotherapist),BSc,24,Physiotherapist,Bandra West,Mumbai,89,18,1200
Mr. Amit Shriwas (Physiotherapist),BPTh/BPT,18,Physiotherapist,Worli,Mumbai,,,1000
Mr. Utsav Shah (Physiotherapist),MPTh/MPT,11,Physiotherapist,Worli,Mumbai,,,4000
Ms. Sneha Ramchandani (Physiotherapist),BPTh/BPT,10,Physiotherapist,Andheri East,Mumbai,100,69,2000
Ms. Komal Jagtap Gaonkar (Physiotherapist),BPTh/BPT,14,Physiotherapist,Mulund West,Mumbai,98,196,450
Ms. Prachi Shah. (Physiotherapist),BPTh/BPT,13,Physiotherapist,Andheri East,Mumbai,100,200,1200
Ms. Anuya Padwal (Physiotherapist),BPTh/BPT,20,Physiotherapist,Worli,Mumbai,91,11,500
Ms. Yatishakumari Kesalikar (Physiotherapist),BPTh/BPT,5,Physiotherapist,Borivali West,Mumbai,,,600
Mr. Gaurav Jain (Physiotherapist),BPTh/BPT,11,Physiotherapist,Kandivali West,Mumbai,100,22,500
Mr. Amit Jangir (Physiotherapist),BPTh/BPT,5,Physiotherapist,Dadar West,Mumbai,,,999
Ms. Manasa Nair (Physiotherapist),BPTh/BPT,12,Physiotherapist,Worli,Mumbai,,,1500
Ms. Shweta Doctor (Physiotherapist),BPTh/BPT,24,Physiotherapist,Hajiali,Mumbai,99,159,1500
Ms. Mehta Devangee Bakul (Physiotherapist),BPTh/BPT,17,Physiotherapist,Prabhadevi,Mumbai,100,13,1000
Ms. Mansi Vaidya Physiotherapist (Physiotherapist),MPTh/MPT,9,Physiotherapist,Vileparle East,Mumbai,,,500
Dr. Mahajan Manjiri Sanjay (Physiotherapist),BPTh/BPT,8,Physiotherapist,Parel,Mumbai,,,350
Ms. Andrea Rebello (Physiotherapist),BPTh/BPT,4,Physiotherapist,Juhu,Mumbai,,,1000
Ms. Reena Chitnis (Physiotherapist),BPTh/BPT,24,Physiotherapist,Mahim,Mumbai,99,90,2000
Ms. Nidhi Viradiya (Physiotherapist),BPTh/BPT,8,Physiotherapist,Worli,Mumbai,,,1000
Mr. Sanjay Bakhshi (Physiotherapist),BPTh/BPT,27,Physiotherapist,Andheri West,Mumbai,97,697,1500
Mr. Thejas Thomas (Physiotherapist),BPTh/BPT,14,Physiotherapist,Cuffe Parade,Mumbai,,,350
Ms. Pooja Jagdish Chang (Physiotherapist),BPTh/BPT,5,Physiotherapist,Chembur East,Mumbai,,,600
Ms. Kinjal Shah Anandpara (Physiotherapist),DPT,17,Physiotherapist,Prabhadevi,Mumbai,100,29,3000
Ms. Gladys Swamy (Physiotherapist),MPTh/MPT,14,Physiotherapist,Bandra West,Mumbai,,,1000
Dr. Manisha Sarode (Physiotherapist),BPTh/BPT,6,Physiotherapist,Oshiwara,Mumbai,,,350
Ms. Priyanka Sukthankar (Physiotherapist),BPTh/BPT,16,Physiotherapist,Andheri East,Mumbai,99,312,800
Ms. Sangita Chadha (Physiotherapist),BSc,42,Physiotherapist,Lokhandwala,Mumbai,97,229,1000
Mr. Varun Shanbhag (Physiotherapist),BPTh/BPT,13,Physiotherapist,Andheri West,Mumbai,99,92,700
Ms. Raveena Kini (Physiotherapist),MPTh/MPT,6,Physiotherapist,Vileparle East,Mumbai,,,400
Ms. Larita Pais (Physiotherapist),BPTh/BPT,12,Physiotherapist,Powai,Mumbai,98,132,1200
Ms. Dhwani Shah (Physiotherapist),BPTh/BPT,15,Physiotherapist,Borivali West,Mumbai,100,52,1000
Ms. Renu Mahashabde (Physiotherapist),BPTh/BPT,18,Physiotherapist,Worli,Mumbai,100,77,1000
Ms. Relina Peris (Physiotherapist),BPTh/BPT,11,Physiotherapist,Powai,Mumbai,92,12,0
Mr. Akshay Gaurish Wagh (Physiotherapist),DPT,12,Physiotherapist,Santacruz West,Mumbai,99,183,2500
Ms. Shruti Kshirsagar (Physiotherapist),BPTh/BPT,10,Physiotherapist,Andheri West,Mumbai,98,148,1200
Ms. Disha Ashar (Physiotherapist),MPTh/MPT,14,Physiotherapist,Linking Road,Mumbai,,,0
Ms. Rasika M Palekar (Rajpurkar) (Physiotherapist),BPTh/BPT,14,Physiotherapist,Kandivali West,Mumbai,,,1000
Ms. Eeenal Jain (Physiotherapist),BPTh/BPT,5,Physiotherapist,Jogeshwari East,Mumbai,,,500
Ms. Khyati Sanghvi (Physiotherapist),BPTh/BPT,12,Physiotherapist,Ghatkopar East,Mumbai,,,0
Ms. Janhavi Rankhambe (Physiotherapist),BSc,26,Physiotherapist,Powai,Mumbai,,,530
Ms. Vidya Rao Karane,BSc,14,Physiotherapist,Powai,Mumbai,,,530
Ms. Apeksha Pawshe (Physiotherapist),BPTh/BPT,8,Physiotherapist,Worli,Mumbai,,,1000
Ms. Claries Swamy (Physiotherapist),MPTh/MPT,17,Physiotherapist,Bandra West,Mumbai,,,1000
Ms. Rukhsar Ansari (Physiotherapist),BPTh/BPT,9,Physiotherapist,Powai,Mumbai,,,0
Ms. Greeshma Shenoy (Physiotherapist),BPTh/BPT,16,Physiotherapist,Powai,Mumbai,,,800
Ms. Roli Dave (Physiotherapist),BPTh/BPT,26,Physiotherapist,Powai,Mumbai,,,530
Ms. Akshina Gupta (Physiotherapist),BPTh/BPT,10,Physiotherapist,Khar West,Mumbai,100,23,1500
Ms. Jharna Damania (Physiotherapist),BPTh/BPT,7,Physiotherapist,Vileparle East,Mumbai,100,11,1200
Ms. Rameet Kaur (Physiotherapist),BPTh/BPT,20,Physiotherapist,Powai,Mumbai,,,800
Dr. Samiksha (Physiotherapist),BPTh/BPT,5,Physiotherapist,Powai,Mumbai,,,800
Dr. Shruti Shah (Physiotherapist),BPTh/BPT,5,Physiotherapist,Andheri East,Mumbai,,,1000
Ms. Niddhi Sanghvi (Physiotherapist),BPTh/BPT,16,Physiotherapist,Churchgate,Mumbai,,,0
Dr. Niraj Parmar (Physiotherapist),BPTh/BPT,5,Physiotherapist,Powai,Mumbai,,,860
Mr. Imraan Khan (Physiotherapist),BPTh/BPT,10,Physiotherapist,Mira Road,Mumbai,,,900
Ms. Sejal Mistry (Physiotherapist),BPTh/BPT,10,Physiotherapist,Linking Road,Mumbai,,,0
Dr. Pooja Mandale (Physiotherapist),MPTh/MPT,3,Physiotherapist,Worli,Mumbai,,,1000
Ms. Barkha Jasani (Physiotherapist),BPTh/BPT,8,Physiotherapist,Borivali,Mumbai,,,0
Ms. Iqraa Rumani (Physiotherapist),BPTh/BPT,3,Physiotherapist,Goregaon,Mumbai,,,800
Dr. Kartik Sharma (Physiotherapist),BPTh/BPT,2,Physiotherapist,Worli,Mumbai,,,1000
Dr. Varsha Degwekar,MS,37,Infertility_Specialist,Powai,Mumbai,94,296,1000
Dr. Hemlata Hardasani,MBBS,28,Infertility_Specialist,Andheri West,Mumbai,99,1805,1700
Dr. Pooja Shukla,MD,16,Infertility_Specialist,Malad West,Mumbai,99,201,1100
Dr. Jayanti Kamat,MBBS,32,Infertility_Specialist,Jogeshwari East,Mumbai,89,27,1000
Dr. Vidya Patil,MBBS,28,Infertility_Specialist,Kandivali West,Mumbai,88,128,1000
Dr. Gouri Sultane Gupta,MBBS,21,Infertility_Specialist,Goregaon West,Mumbai,91,151,1000
Dr. Prakash Trivedi,MBBS,45,Infertility_Specialist,Ghatkopar East,Mumbai,98,174,3000
Dr. Monika Agrawal,DGO,19,Infertility_Specialist,Andheri East,Mumbai,96,269,1000
Dr. Swapna S. Kumar,MBBS,17,Infertility_Specialist,Bhandup West,Mumbai,96,56,800
Dr. Ashlesha Sankhe,MD,28,Infertility_Specialist,Andheri West,Mumbai,98,128,1500
Dr. Shruti Parikh,MBBS,16,Infertility_Specialist,Malad West,Mumbai,100,207,1100
Dr. Pradnya Randive,MBBS,18,Infertility_Specialist,Bhandup West,Mumbai,95,138,1200
Dr. Shubhada Kulkarni,MBBS,45,Infertility_Specialist,Andheri West,Mumbai,89,181,1200
Dr. Tejal Poddar,MS,13,Infertility_Specialist,Opera House,Mumbai,98,133,1000
Dr. Shreedevi Tanksale,DGO,16,Infertility_Specialist,Vileparle East,Mumbai,100,212,1000
Dr. Kunjal Bathija,MBBS,32,Infertility_Specialist,Colaba,Mumbai,78,41,800
Dr. Namrita Sheregar,MBBS,18,Infertility_Specialist,Andheri West,Mumbai,98,173,1000
Dr. Parzan Mistry,MS,10,Infertility_Specialist,Nana Chowk,Mumbai,98,44,1000
Dr. Richa Jagtap,MBBS,23,Infertility_Specialist,Kurla West,Mumbai,,,0
Dr. Shruti Thar,MBBS,13,Infertility_Specialist,Mulund West,Mumbai,100,13,1000
Dr. Asavari Dongre,MBBS,18,Infertility_Specialist,Matunga,Mumbai,97,39,1000
Dr. Rajendra S Sankpal,MD,30,Infertility_Specialist,Malad West,Mumbai,98,91,1000
Dr. Shilpa Saple,MD,24,Infertility_Specialist,Santacruz West,Mumbai,,,2000
Dr. Harshika Bavishi,MBBS,38,Infertility_Specialist,Chembur East,Mumbai,97,92,1000
Dr. Anagha Chhatrapati,MS,17,Infertility_Specialist,Parel,Mumbai,,,1600
Dr. Varun H Shah,DNB,16,Infertility_Specialist,Borivali West,Mumbai,100,195,1200
Dr. Jay Mehta,MBBS,13,Infertility_Specialist,Ghatkopar East,Mumbai,80,30,3000
Dr. Soumil Trivedi,MBBS,16,Infertility_Specialist,Ghatkopar East,Mumbai,100,106,2000
Dr. Renubala Rout,DNB,18,Infertility_Specialist,Kandivali East,Mumbai,96,54,1000
Dr. Manjushri Kothekar,MBBS,20,Infertility_Specialist,Chembur,Mumbai,100,19,1000
Dr. Vaishali Chaudhari,MBBS,16,Infertility_Specialist,Chembur East,Mumbai,90,29,1000
Dr. Nanda R Kumar,MBBS,21,Infertility_Specialist,Chembur East,Mumbai,90,187,1000
Dr. Gangurde Pritimala Bhalchandra,MBBS,21,Infertility_Specialist,Kandivali West,Mumbai,,,1000
Dr. Aditi S. Trivedi,MBBS,13,Infertility_Specialist,Ghatkopar East,Mumbai,100,280,2000
Dr. Shilpa Uppal Shah,DNB,4,Infertility_Specialist,Chembur,Mumbai,91,11,1000
Dr. Nutan Hegde,MBBS,21,Infertility_Specialist,Dadar West,Mumbai,97,144,900
Dr. Dhrupti B Dedhia,MBBS,26,Infertility_Specialist,Santacruz West,Mumbai,,,2200
Dr. Bhagyasree A,MBBS,12,Infertility_Specialist,Chembur East,Mumbai,,,700
Dr. Bhoomika Jain,MBBS,8,Infertility_Specialist,Churchgate,Mumbai,,,1500
Dr. Shreya Prabhoo,MBBS,16,Infertility_Specialist,Andheri East,Mumbai,,,1200
Dr. Suyash Bhandekar,MBBS,16,Infertility_Specialist,Mulund West,Mumbai,99,94,1000
Dr. Ankush Nandkishor Raut,MBBS,13,Infertility_Specialist,Borivali East,Mumbai,94,16,1000
Dr. Kirti Shankhdhar,MBBS,26,Infertility_Specialist,Chembur,Mumbai,100,17,1000
Dr. Shruti Rai,MBBS,10,Infertility_Specialist,Chembur,Mumbai,100,30,700
Dr. Tanuja Uchil,MD,27,Infertility_Specialist,Chembur East,Mumbai,94,874,1200
Dr. Uddhavraj Dudhedia,MBBS,27,Infertility_Specialist,Chembur,Mumbai,,,2000
Dr. Nandan Purandare,MS,16,Infertility_Specialist,Dadar,Mumbai,,,1000
Dr. Madhushree Venkat,MBBS,24,Infertility_Specialist,Mulund West,Mumbai,84,38,1000
Dr. Sachin Dalal,FCPS,22,Infertility_Specialist,Bhandup West,Mumbai,93,219,2500
Dr. Sunayana Dubey,MBBS,23,Infertility_Specialist,Kandivali East,Mumbai,89,18,1000
Dr. Raju Sahetya,MD,45,Infertility_Specialist,Malad West,Mumbai,95,115,1000
Dr. Aditi Singhi,MBBS,21,Infertility_Specialist,Chembur,Mumbai,96,24,1200
Dr. Saloni Suchak,MBBS,19,Infertility_Specialist,Malad West,Mumbai,99,674,1000
Dr. Shweta Shah,MBBS,13,Infertility_Specialist,Malad West,Mumbai,100,220,1500
Dr. Nitin M Narvekar,DGO,42,Infertility_Specialist,Matunga,Mumbai,100,28,2000
Dr. Shyam V Desai,MD,47,Infertility_Specialist,Malad West,Mumbai,,,1200
Dr. Mangala Patil,MBBS,37,Infertility_Specialist,Mira Road,Mumbai,71,34,900
Dr. Vrushni Bhuta,MBBS,15,Infertility_Specialist,Powai,Mumbai,100,78,1600
Dr. Nandita P Palshetkar,MBBS,39,Infertility_Specialist,Bandra West,Mumbai,85,47,1000
Dr. Geetanjali Gariema,MS,23,Infertility_Specialist,Oshiwara,Mumbai,,,1500
Dr. Miral Patel,DNB,16,Infertility_Specialist,Kandivali West,Mumbai,100,17,800
Dr. Punit Bhojani,MBBS,21,Infertility_Specialist,Matunga,Mumbai,99,105,1200
Dr. Simi Kawar,MS,31,Infertility_Specialist,Malad West,Mumbai,,,1600
Dr. Gouri Gore,MBBS,19,Infertility_Specialist,Chembur East,Mumbai,91,181,1200
Dr. Vikram Sharad Shah,MBBS,26,Infertility_Specialist,Mahim,Mumbai,95,19,1800
Dr. Hetal Parekh,MBBS,27,Infertility_Specialist,Powai,Mumbai,,,1600
Dr. Mansi A Medhekar,MBBS,18,Infertility_Specialist,Mahim,Mumbai,100,13,1300
Dr. Shilpa Shah Gohil,MD,21,Infertility_Specialist,Wadala,Mumbai,97,150,800
Dr. Kanika Kalyani,MBBS,15,Infertility_Specialist,Borivali,Mumbai,,,500
Dr. Divya A Sahetya,MBBS,13,Infertility_Specialist,Andheri West,Mumbai,100,47,1200
Dr. Jayshree Raurale,MBBS,16,Infertility_Specialist,Kandivali West,Mumbai,,,800
Dr. Swati Kapadia,MBBS,34,Infertility_Specialist,Andheri West,Mumbai,93,15,1800
Dr. Rohan Palshetkar,MS,14,Infertility_Specialist,Opera House,Mumbai,,,500
Dr. Rinoy Sreedharan,MBBS,16,Infertility_Specialist,Bhandup,Mumbai,,,500
Dr. Ameya S. Kanakiya,MBBS,19,Infertility_Specialist,Chembur,Mumbai,,,1500
Dr. Prashansa Raut-Dalvi,MBBS,12,Infertility_Specialist,Goregaon East,Mumbai,,,1000
Dr. Sushil Shinde,MS,14,Infertility_Specialist,Vileparle West,Mumbai,,,1500
Dr. Hrishikesh Pai,MBBS,41,Infertility_Specialist,Bandra West,Mumbai,100,52,2000
Dr. Shradha Goel,MS,22,Ophthalmologist,Andheri West,Mumbai,99,652,1000
Dr. Bhushan Ghodke,MS,16,Ophthalmologist,Andheri West,Mumbai,99,428,600
Dr. Shalomith Uppapalli,DNB,16,Ophthalmologist,Andheri West,Mumbai,100,174,700
Dr. Dhanashree Mane Dhabalia,MBBS,16,Ophthalmologist,Andheri West,Mumbai,100,42,600
Dr. Niteen Dedhia,MS,41,Ophthalmologist,Bandra West,Mumbai,94,198,1200
Dr. Minali Goyal,MS,37,Ophthalmologist,Worli,Mumbai,96,93,1200
Dr. Pallavi Bipte,MBBS,14,Ophthalmologist,Chembur,Mumbai,,,1200
Dr. Seema Behl,MBBS,33,Ophthalmologist,Andheri East,Mumbai,95,42,800
Dr. Janaki Kodkani,MBBS,28,Ophthalmologist,Bandra West,Mumbai,90,42,1000
Dr. Vinit Mahendra Shah,MBBS,19,Ophthalmologist,Mulund West,Mumbai,98,1323,600
Dr. Nita A Shah,MBBS,39,Ophthalmologist,Chembur East,Mumbai,89,106,1200
Dr. Vidhan C Doshi,MBBS,14,Ophthalmologist,Andheri East,Mumbai,99,303,800
Dr. Rasshmi Malhotra,MBBS,27,Ophthalmologist,Parel,Mumbai,99,192,1500
Dr. Pooja Ghodke,MBBS,14,Ophthalmologist,Andheri West,Mumbai,99,225,600
Dr. Nikhil Nasta,MBBS,23,Ophthalmologist,Dadar East,Mumbai,99,1047,1500
Dr. Mikeen Shah,MBBS,15,Ophthalmologist,Andheri East,Mumbai,96,24,600
Dr. Devanshi Shah,MS,13,Ophthalmologist,Ghatkopar East,Mumbai,99,69,1000
Dr. Rajesh Mishra,MBBS,18,Ophthalmologist,Matunga East,Mumbai,100,30,1500
Dr. Pratima S Wagh,MBBS,29,Ophthalmologist,Kandivali,Mumbai,100,40,800
Dr. Sangita B Manek,MBBS,26,Ophthalmologist,Bhandup West,Mumbai,100,47,800
Dr. Himanshu Mehta,MBBS,41,Ophthalmologist,Juhu,Mumbai,92,532,1200
Dr. Shivani Nirav Agrawat,DO,17,Ophthalmologist,Borivali East,Mumbai,100,111,800
Dr. Utsav Patel,MBBS,15,Ophthalmologist,Kandivali East,Mumbai,99,364,700
Dr. S.Natarajan,MBBS,40,Ophthalmologist,Wadala,Mumbai,64,22,5000
Dr. Harsha Shejao Kanzarkar,MBBS,14,Ophthalmologist,Andheri East,Mumbai,,,700
Dr. Preeti Patil,MS,29,Ophthalmologist,Bandra West,Mumbai,100,83,1000
Dr. Bhavesh Gohil,MBBS,24,Ophthalmologist,Wadala,Mumbai,99,370,600
Dr. Prachi Parmar,DO,14,Ophthalmologist,Ghatkopar,Mumbai,100,35,499
